ランダムタスク
Thread ID: 2272969140
Total: 0.001526

 %self     total     self     wait    child    calls  name
  1.41      0.00     0.00     0.00     0.00        2  Task#get_long_resource_array
  1.33      0.00     0.00     0.00     0.00        8  Array#==
  1.33      0.00     0.00     0.00     0.00        3  WCBT#partition
  1.33      0.00     0.00     0.00     0.00        1  WCBT#sbg
  1.17      0.00     0.00     0.00     0.00        1  WCBT#procList
  1.09      0.00     0.00     0.00     0.00        9  Fixnum#<=>
  1.09      0.00     0.00     0.00     0.00        5  Object#print_debug
  1.02      0.00     0.00     0.00     0.00        1  WCBT#show_blocktime_120409
  0.94      0.00     0.00     0.00     0.00        7  Array#size
  0.86      0.00     0.00     0.00     0.00        2  Task#get_short_resource_array
  0.78      0.00     0.00     0.00     0.00        1  WCBT#BB
  0.78      0.00     0.00     0.00     0.00        1  WCBT#LB
  0.78      0.00     0.00     0.00     0.00        4  <Module::Term::ANSIColor>#coloring?
  0.78      0.00     0.00     0.00     0.00        3  Enumerable#min
  0.78      0.00     0.00     0.00     0.00        6  String#<<
  0.70      0.00     0.00     0.00     0.00        1  WCBT#lowest_priority_task
  0.70      0.00     0.00     0.00     0.00        4  Kernel#respond_to?
  0.62      0.00     0.00     0.00     0.00        6  Float#to_f
  0.55      0.00     0.00     0.00     0.00        6  Fixnum#*
  0.55      0.00     0.00     0.00     0.00        3  Float#ceil
  0.55      0.00     0.00     0.00     0.00        3  Float#/
  0.47      0.00     0.00     0.00     0.00        6  <Class::Object>#allocate
  0.39      0.00     0.00     0.00     0.00        1  WCBT#DB
  0.39      0.00     0.00     0.00     0.00        3  Array#+
  0.31      0.00     0.00     0.00     0.00        4  Array#[]
  0.31      0.00     0.00     0.00     0.00        3  Integer#to_i
  0.23      0.00     0.00     0.00     0.00        2  Kernel#block_given?
  0.23      0.00     0.00     0.00     0.00        2  Fixnum#<
  0.23      0.00     0.00     0.00     0.00        1  Array#uniq
  0.16      0.00     0.00     0.00     0.00        3  Fixnum#-
  0.16      0.00     0.00     0.00     0.00        1  Array#sort
  0.16      0.00     0.00     0.00     0.00        1  Array#uniq!
  0.16      0.00     0.00     0.00     0.00        2  String#to_str
  0.08      0.00     0.00     0.00     0.00        1  String#to_s


Thread ID: 2272969140
Total: 0.001259

 %self     total     self     wait    child    calls  name
 30.18      0.00     0.00     0.00     0.00       49  Array#each
  4.69      0.00     0.00     0.00     0.00        3  WCBT#wcsxg
  4.61      0.00     0.00     0.00     0.00        3  WCBT#sbgp
  4.29      0.00     0.00     0.00     0.00       43  Fixnum#==
  4.05      0.00     0.00     0.00     0.00        8  Task#get_all_require
  3.42      0.00     0.00     0.00     0.00        6  Array#sort!
  2.78      0.00     0.00     0.00     0.00       29  Array#<<
  2.46      0.00     0.00     0.00     0.00        6  Integer#upto
  2.14      0.00     0.00     0.00     0.00       14  String#==
  2.07      0.00     0.00     0.00     0.00        6  ReqTuple#initialize
  2.07      0.00     0.00     0.00     0.00        1  WCBT#set_blocktime
  1.91      0.00     0.00     0.00     0.00        4  WCBT#SR
  1.83      0.00     0.00     0.00     0.00        3  WCBT#wcspg
  1.83      0.00     0.00     0.00     0.00        1  Term::ANSIColor#blue
  1.67      0.00     0.00     0.00     0.00        1  WCBT#SB
  1.59      0.00     0.00     0.00     0.00       15  Kernel#==
  1.51      0.00     0.00     0.00     0.00        1  WCBT#sbg
  1.51      0.00     0.00     0.00     0.00        1  Term::ANSIColor#magenta
